uid smoi rep sr update host_count sym_count free_sym_count hosted_sym_count sym_infectchance free_sym_infectchance hosted_sym_infectchance sym_val free_sym_val hosted_sym_val host_val cfu
1_10 1 10 500 4800 10000 8987 8987 0 0.093559 0.093559 -nan -0.0719694 -0.0719694 -nan -0.0860275 10000
1_10 1 10 500 4900 10000 9071 9071 0 0.0890184 0.0890184 -nan -0.0987154 -0.0987154 -nan -0.0823073 10000
1_10 1 10 500 5000 10000 8970 8970 0 0.0951334 0.0951334 -nan -0.0666525 -0.0666525 -nan -0.0824806 10000
1_10 1 10 500 5100 10000 8983 8983 0 0.0960736 0.0960736 -nan -0.0871037 -0.0871037 -nan -0.0923529 10000
1_10 1 10 500 5200 10000 8990 8990 0 0.0970241 0.0970241 -nan -0.0854879 -0.0854879 -nan -0.0932423 10000
1_10 1 10 500 5300 10000 9044 9044 0 0.0898148 0.0898148 -nan -0.109398 -0.109398 -nan -0.092051 10000
1_10 1 10 500 5400 10000 9081 9081 0 0.0951108 0.0951108 -nan -0.0871938 -0.0871938 -nan -0.0981121 10000
1_10 1 10 500 5500 10000 9000 9000 0 0.095527 0.095527 -nan -0.085679 -0.085679 -nan -0.0802748 10000
1_10 1 10 500 5600 10000 9022 9022 0 0.0923519 0.0923519 -nan -0.069466 -0.069466 -nan -0.0875767 10000
1_10 1 10 500 5700 10000 8956 8956 0 0.0939558 0.0939558 -nan -0.0708165 -0.0708165 -nan -0.0834645 10000
1_10 1 10 500 5800 10000 9038 9038 0 0.0909983 0.0909983 -nan -0.0922607 -0.0922607 -nan -0.0908311 10000
1_10 1 10 500 5900 10000 9019 9019 0 0.0936003 0.0936003 -nan -0.0805378 -0.0805378 -nan -0.0872302 10000
1_10 1 10 500 6000 10000 9061 9061 0 0.0902321 0.0902321 -nan -0.0798272 -0.0798272 -nan -0.0935117 10000
1_10 1 10 500 6100 10000 9013 9013 0 0.0935933 0.0935933 -nan -0.089494 -0.089494 -nan -0.0872682 10000
1_10 1 10 500 6200 10000 9067 9067 0 0.0955366 0.0955366 -nan -0.0689959 -0.0689959 -nan -0.109143 10000
1_10 1 10 500 6300 10000 9054 9054 0 0.0924639 0.0924639 -nan -0.0865012 -0.0865012 -nan -0.0851399 10000
1_10 1 10 500 6400 10000 9056 9056 0 0.0934241 0.0934241 -nan -0.0793434 -0.0793434 -nan -0.0894555 10000
1_10 1 10 500 6500 10000 8979 8979 0 0.0911314 0.0911314 -nan -0.0767859 -0.0767859 -nan -0.0888823 10000
1_10 1 10 500 6600 10000 9001 9001 0 0.0877608 0.0877608 -nan -0.0648565 -0.0648565 -nan -0.097029 10000
1_10 1 10 500 6700 10000 8985 8985 0 0.0967284 0.0967284 -nan -0.0791071 -0.0791071 -nan -0.0848284 10000
1_10 1 10 500 6800 10000 9025 9025 0 0.0942394 0.0942394 -nan -0.102289 -0.102289 -nan -0.10144 10000
1_10 1 10 500 6900 10000 9060 9060 0 0.0913449 0.0913449 -nan -0.0902742 -0.0902742 -nan -0.0899118 10000
1_10 1 10 500 7000 10000 9044 9044 0 0.0929597 0.0929597 -nan -0.0928216 -0.0928216 -nan -0.0931609 10000
1_10 1 10 500 7100 10000 9040 9040 0 0.0945927 0.0945927 -nan -0.090877 -0.090877 -nan -0.0872565 10000
