uid smoi rep sym_res_dis update host_count sym_count free_sym_count hosted_sym_count sym_infectchance free_sym_infectchance hosted_sym_infectchance sym_val free_sym_val hosted_sym_val host_val cfu
1_10 1 10 500 4900 10000 12556 5691 6865 0.639739 0.540202 0.722254 0.20685 0.150246 0.253773 0.855495 10000
1_10 1 10 500 5000 10000 12593 5838 6755 0.623719 0.523662 0.710192 0.213865 0.154236 0.265401 0.85534 10000
1_10 1 10 500 5100 10000 12597 5736 6861 0.62609 0.526265 0.709546 0.208332 0.154246 0.253549 0.848281 10000
1_10 1 10 500 5200 10000 12632 5865 6767 0.622374 0.515188 0.715273 0.209645 0.15715 0.255143 0.847244 10000
1_10 1 10 500 5300 10000 12659 5808 6851 0.632822 0.534092 0.71652 0.20966 0.152328 0.258264 0.85538 10000
1_10 1 10 500 5400 10000 12506 5785 6721 0.633831 0.535943 0.718086 0.205968 0.151414 0.252925 0.844246 10000
1_10 1 10 500 5500 10000 12652 5828 6824 0.610669 0.513297 0.693829 0.20909 0.154043 0.256103 0.847629 10000
1_10 1 10 500 5600 10000 12565 5722 6843 0.638187 0.535237 0.724272 0.212713 0.157955 0.2585 0.860423 10000
1_10 1 10 500 5700 10000 12591 5895 6696 0.605009 0.507493 0.690861 0.220318 0.170111 0.264518 0.84895 10000
1_10 1 10 500 5800 10000 12545 5712 6833 0.626363 0.533485 0.704004 0.213774 0.154755 0.263111 0.85668 10000
1_10 1 10 500 5900 10000 12610 5787 6823 0.630016 0.523116 0.720683 0.210279 0.153975 0.258033 0.855282 10000
1_10 1 10 500 6000 10000 12585 5839 6746 0.618396 0.512517 0.71004 0.213297 0.161539 0.258097 0.858647 10000
1_10 1 10 500 6100 10000 12633 5816 6817 0.625476 0.523041 0.712869 0.206689 0.150749 0.254415 0.852221 10000
1_10 1 10 500 6200 10000 12474 5706 6768 0.635178 0.543788 0.712227 0.21168 0.156971 0.257804 0.856818 10000
1_10 1 10 500 6300 10000 12558 5721 6837 0.624331 0.525544 0.706993 0.207863 0.152157 0.254476 0.847457 10000
1_10 1 10 500 6400 10000 12651 5864 6787 0.615474 0.523327 0.69509 0.210018 0.155167 0.257409 0.856914 10000
1_10 1 10 500 6500 10000 12519 5837 6682 0.613834 0.518702 0.696936 0.214737 0.161917 0.260877 0.849705 10000
1_10 1 10 500 6600 10000 12639 5822 6817 0.61452 0.501761 0.710821 0.211286 0.155497 0.258933 0.850384 10000
1_10 1 10 500 6700 10000 12675 5766 6909 0.63486 0.540683 0.713456 0.214446 0.164187 0.25639 0.853101 10000
1_10 1 10 500 6800 10000 12682 5781 6901 0.632785 0.537604 0.712518 0.207814 0.153123 0.253629 0.853705 10000
1_10 1 10 500 6900 10000 12466 5675 6791 0.641546 0.551977 0.716397 0.21419 0.166069 0.254402 0.857769 10000
1_10 1 10 500 7000 10000 12591 5727 6864 0.632118 0.528145 0.718869 0.210029 0.153757 0.256979 0.854037 10000
1_10 1 10 500 7100 10000 12555 5720 6835 0.632651 0.53599 0.713543 0.212558 0.160936 0.255759 0.851694 10000
1_10 1 10 500 7200 10000 12524 5838 6686 0.631528 0.527276 0.722557 0.212147 0.15772 0.259672 0.85011 10000
1_10 1 10 500 7300 10000 12530 5707 6823 0.621346 0.527572 0.699782 0.21477 0.160078 0.260516 0.860277 10000
