uid smoi rep sr update host_count sym_count free_sym_count hosted_sym_count sym_infectchance free_sym_infectchance hosted_sym_infectchance sym_val free_sym_val hosted_sym_val host_val cfu
1_10 1 10 500 4900 10000 12703 5856 6847 0.613994 0.521982 0.692689 0.204144 0.147809 0.252327 0.853537 10000
1_10 1 10 500 5000 10000 12655 5861 6794 0.60358 0.510395 0.683969 0.208186 0.1553 0.253809 0.850792 10000
1_10 1 10 500 5100 10000 12632 5805 6827 0.628153 0.532867 0.709174 0.209743 0.155571 0.255806 0.851614 10000
1_10 1 10 500 5200 10000 12502 5736 6766 0.629354 0.52868 0.714702 0.216463 0.164765 0.260292 0.85609 10000
1_10 1 10 500 5300 10000 12547 5717 6830 0.634104 0.530417 0.720895 0.209988 0.154722 0.256247 0.853117 10000
1_10 1 10 500 5400 10000 12564 5804 6760 0.614367 0.517931 0.697165 0.21458 0.158815 0.262459 0.855794 10000
1_10 1 10 500 5500 10000 12564 5759 6805 0.632471 0.526282 0.722337 0.211247 0.157238 0.256954 0.857733 10000
1_10 1 10 500 5600 10000 12467 5698 6769 0.628337 0.533861 0.707864 0.214902 0.166674 0.2555 0.856205 10000
1_10 1 10 500 5700 10000 12598 5782 6816 0.620088 0.527964 0.698236 0.206103 0.149608 0.254027 0.845557 10000
1_10 1 10 500 5800 10000 12546 5810 6736 0.619698 0.520711 0.705078 0.212881 0.164515 0.254599 0.848616 10000
1_10 1 10 500 5900 10000 12653 5833 6820 0.617988 0.51959 0.702145 0.209224 0.154382 0.256129 0.856148 10000
1_10 1 10 500 6000 10000 12611 5789 6822 0.626895 0.533465 0.706176 0.207412 0.156411 0.250689 0.857178 10000
1_10 1 10 500 6100 10000 12509 5677 6832 0.644582 0.551959 0.721547 0.217082 0.165701 0.259776 0.853573 10000
1_10 1 10 500 6200 10000 12585 5748 6837 0.637948 0.537742 0.722194 0.210603 0.153007 0.259025 0.851215 10000
1_10 1 10 500 6300 10000 12659 5882 6777 0.618506 0.521982 0.702283 0.209344 0.160375 0.251846 0.844722 10000
1_10 1 10 500 6400 10000 12588 5762 6826 0.638482 0.534123 0.726575 0.215995 0.158346 0.264657 0.861455 10000
1_10 1 10 500 6500 10000 12588 5791 6797 0.629082 0.531034 0.712617 0.211071 0.162456 0.25249 0.852994 10000
1_10 1 10 500 6600 10000 12559 5708 6851 0.638844 0.541992 0.719537 0.203943 0.14902 0.249702 0.855875 10000
1_10 1 10 500 6700 10000 12585 5857 6728 0.613996 0.511281 0.703414 0.208551 0.156481 0.25388 0.847336 10000
1_10 1 10 500 6800 10000 12595 5837 6758 0.620532 0.520472 0.706955 0.212603 0.161968 0.256338 0.85427 10000
1_10 1 10 500 6900 10000 12561 5776 6785 0.629804 0.523114 0.720628 0.215266 0.158641 0.26347 0.854867 10000
1_10 1 10 500 7000 10000 12542 5775 6767 0.625889 0.537079 0.701681 0.212252 0.160222 0.256654 0.850043 10000
1_10 1 10 500 7100 10000 12678 5895 6783 0.62132 0.513306 0.715194 0.216417 0.161547 0.264103 0.859403 10000
1_10 1 10 500 7200 10000 12603 5811 6792 0.62543 0.523891 0.712303 0.209604 0.155804 0.255633 0.848437 10000
1_10 1 10 500 7300 10000 12683 5955 6728 0.608104 0.504666 0.699657 0.205802 0.149769 0.255398 0.852329 10000
1_10 1 10 500 7400 10000 12517 5707 6810 0.630249 0.529004 0.715095 0.214416 0.160625 0.259495 0.855566 10000
1_10 1 10 500 7500 10000 12525 5691 6834 0.64569 0.552218 0.723529 0.219254 0.16851 0.261511 0.861219 10000
1_10 1 10 500 7600 10000 12640 5777 6863 0.634623 0.535558 0.718012 0.210026 0.156702 0.254912 0.859345 10000
