uid smoi rep sr update host_count sym_count free_sym_count hosted_sym_count sym_infectchance free_sym_infectchance hosted_sym_infectchance sym_val free_sym_val hosted_sym_val host_val cfu
1_10 1 10 500 4800 10000 13359 5964 7395 0.599852 0.495515 0.683999 0.246981 0.185433 0.296619 0.855868 10000
1_10 1 10 500 4900 10000 13281 5873 7408 0.622356 0.517861 0.7052 0.24971 0.191703 0.295698 0.865359 10000
1_10 1 10 500 5000 10000 13109 5626 7483 0.647885 0.539105 0.72967 0.244973 0.180071 0.293769 0.857548 10000
1_10 1 10 500 5100 10000 13171 5703 7468 0.655781 0.547191 0.738707 0.2469 0.183024 0.295679 0.863237 10000
1_10 1 10 500 5200 10000 13348 5893 7455 0.628664 0.522311 0.712733 0.247995 0.186402 0.296683 0.860329 10000
1_10 1 10 500 5300 10000 13157 5711 7446 0.627442 0.518613 0.710913 0.249115 0.186868 0.296858 0.863145 10000
1_10 1 10 500 5400 10000 13246 5730 7516 0.643232 0.53303 0.727247 0.250746 0.190428 0.296731 0.858535 10000
1_10 1 10 500 5500 10000 13203 5768 7435 0.640509 0.521659 0.732711 0.247666 0.181492 0.299003 0.865088 10000
1_10 1 10 500 5600 10000 13165 5735 7430 0.632213 0.530781 0.710506 0.247941 0.186724 0.295193 0.856411 10000
1_10 1 10 500 5700 10000 13222 5730 7492 0.638763 0.538015 0.715817 0.250418 0.186899 0.298999 0.861364 10000
1_10 1 10 500 5800 10000 13239 5809 7430 0.629945 0.525914 0.71128 0.241302 0.178875 0.290109 0.860285 10000
1_10 1 10 500 5900 10000 13189 5706 7483 0.639201 0.536008 0.717889 0.251913 0.193773 0.296247 0.858237 10000
1_10 1 10 500 6000 10000 13193 5794 7399 0.630334 0.517339 0.718818 0.252416 0.188697 0.302312 0.862151 10000
1_10 1 10 500 6100 10000 13161 5626 7535 0.656386 0.550471 0.735468 0.247848 0.188915 0.291851 0.854707 10000
1_10 1 10 500 6200 10000 13172 5719 7453 0.641541 0.537267 0.721555 0.250522 0.195305 0.292893 0.846548 10000
1_10 1 10 500 6300 10000 13211 5851 7360 0.622473 0.504365 0.716365 0.243879 0.181812 0.293221 0.85666 10000
1_10 1 10 500 6400 10000 13343 5952 7391 0.612888 0.496856 0.706328 0.247606 0.186689 0.296662 0.856369 10000
1_10 1 10 500 6500 10000 13289 5869 7420 0.623202 0.519151 0.705503 0.247845 0.191446 0.292455 0.862356 10000
1_10 1 10 500 6600 10000 13119 5758 7361 0.631688 0.521681 0.717738 0.250851 0.188985 0.299244 0.858734 10000
1_10 1 10 500 6700 10000 13284 5883 7401 0.626536 0.51893 0.712071 0.244777 0.185829 0.291635 0.859688 10000
1_10 1 10 500 6800 10000 13267 5839 7428 0.634513 0.522349 0.722682 0.240998 0.175358 0.292597 0.856242 10000
1_10 1 10 500 6900 10000 13218 5848 7370 0.61534 0.501209 0.705901 0.244943 0.180267 0.296263 0.854717 10000
1_10 1 10 500 7000 10000 13178 5701 7477 0.635014 0.530959 0.714352 0.248725 0.188257 0.29483 0.857562 10000
1_10 1 10 500 7100 10000 13120 5767 7353 0.641599 0.532597 0.727091 0.247995 0.178567 0.302447 0.855727 10000
1_10 1 10 500 7200 10000 13272 5783 7489 0.638636 0.527601 0.724377 0.244741 0.178536 0.295864 0.858592 10000
1_10 1 10 500 7300 10000 13156 5765 7391 0.634773 0.524775 0.720572 0.241249 0.174654 0.293194 0.854803 10000
1_10 1 10 500 7400 10000 13196 5757 7439 0.638092 0.526559 0.724406 0.251077 0.192571 0.296355 0.86285 10000
1_10 1 10 500 7500 10000 13189 5747 7442 0.648945 0.541048 0.732268 0.244752 0.184458 0.291314 0.858637 10000
1_10 1 10 500 7600 10000 13311 5881 7430 0.626922 0.514547 0.715869 0.248393 0.189222 0.295228 0.85545 10000
1_10 1 10 500 7700 10000 13023 5565 7458 0.650818 0.545203 0.729626 0.249116 0.184799 0.297108 0.8532 10000
1_10 1 10 500 7800 10000 13066 5590 7476 0.644251 0.540884 0.721542 0.249277 0.185832 0.296717 0.861808 10000
