uid smoi rep sym_res_dis update host_count sym_count free_sym_count hosted_sym_count sym_infectchance free_sym_infectchance hosted_sym_infectchance sym_val free_sym_val hosted_sym_val host_val cfu
1_10 1 10 500 4700 10000 13248 5827 7421 0.618889 0.515217 0.700293 0.244145 0.185491 0.2902 0.854688 10000
1_10 1 10 500 4800 10000 13181 5784 7397 0.626644 0.529821 0.702354 0.245652 0.186274 0.292081 0.852803 10000
1_10 1 10 500 4900 10000 13219 5874 7345 0.610266 0.502028 0.696826 0.248874 0.184798 0.300118 0.857647 10000
1_10 1 10 500 5000 10000 13194 5820 7374 0.619886 0.508598 0.70772 0.248338 0.188923 0.295232 0.856859 10000
1_10 1 10 500 5100 10000 13307 5910 7397 0.615731 0.504086 0.704933 0.251567 0.187001 0.303153 0.864979 10000
1_10 1 10 500 5200 10000 13176 5686 7490 0.652821 0.547227 0.732983 0.250268 0.186541 0.298647 0.860505 10000
1_10 1 10 500 5300 10000 13234 5841 7393 0.619434 0.520721 0.697425 0.246285 0.183445 0.295932 0.855136 10000
1_10 1 10 500 5400 10000 13116 5698 7418 0.641823 0.541475 0.718904 0.245805 0.183847 0.293396 0.861585 10000
1_10 1 10 500 5500 10000 13000 5602 7398 0.647942 0.539687 0.729915 0.250406 0.186216 0.299012 0.863311 10000
1_10 1 10 500 5600 10000 13225 5807 7418 0.623884 0.519393 0.705683 0.249107 0.185168 0.299159 0.861642 10000
1_10 1 10 500 5700 10000 13140 5699 7441 0.648717 0.542678 0.729931 0.248728 0.189616 0.294001 0.862419 10000
1_10 1 10 500 5800 10000 13347 5939 7408 0.61233 0.509939 0.694417 0.243445 0.179575 0.29465 0.861673 10000
1_10 1 10 500 5900 10000 13217 5747 7470 0.615048 0.521008 0.687397 0.248357 0.188915 0.294088 0.853722 10000
1_10 1 10 500 6000 10000 13149 5765 7384 0.627354 0.522626 0.70912 0.251875 0.194214 0.296894 0.86156 10000
1_10 1 10 500 6100 10000 13159 5651 7508 0.6471 0.54789 0.721772 0.248688 0.188777 0.29378 0.863611 10000
1_10 1 10 500 6200 10000 13080 5696 7384 0.63875 0.545886 0.710386 0.246508 0.188002 0.291639 0.863669 10000
1_10 1 10 500 6300 10000 13191 5803 7388 0.629522 0.521153 0.714641 0.247636 0.188637 0.293977 0.860202 10000
1_10 1 10 500 6400 10000 13126 5648 7478 0.651302 0.554405 0.724487 0.248238 0.188764 0.293158 0.860091 10000
1_10 1 10 500 6500 10000 13194 5755 7439 0.641681 0.531059 0.72726 0.247577 0.184283 0.296543 0.854224 10000
1_10 1 10 500 6600 10000 13119 5698 7421 0.644922 0.541915 0.724013 0.248127 0.186054 0.295787 0.858452 10000
1_10 1 10 500 6700 10000 13237 5782 7455 0.624812 0.521072 0.705271 0.249833 0.185966 0.299367 0.863397 10000
1_10 1 10 500 6800 10000 13321 5982 7339 0.61562 0.495774 0.713306 0.242799 0.176534 0.296811 0.853378 10000
1_10 1 10 500 6900 10000 13053 5656 7397 0.640806 0.529638 0.725809 0.245242 0.183196 0.292685 0.859135 10000
1_10 1 10 500 7000 10000 13161 5746 7415 0.64377 0.53767 0.725988 0.249939 0.190857 0.295722 0.855387 10000
1_10 1 10 500 7100 10000 13198 5747 7451 0.632498 0.532353 0.70974 0.24838 0.184908 0.297336 0.862829 10000
1_10 1 10 500 7200 10000 13231 5814 7417 0.630353 0.522705 0.714737 0.248437 0.184011 0.298938 0.864105 10000
1_10 1 10 500 7300 10000 13309 5857 7452 0.637224 0.526598 0.724172 0.242153 0.180299 0.290769 0.865408 10000
1_10 1 10 500 7400 10000 13240 5808 7432 0.640074 0.534324 0.722716 0.243654 0.184275 0.290058 0.856031 10000
1_10 1 10 500 7500 10000 13277 5918 7359 0.630154 0.5191 0.719462 0.238816 0.173379 0.29144 0.862233 10000
1_10 1 10 500 7600 10000 13142 5713 7429 0.643255 0.537232 0.724788 0.247007 0.183217 0.296062 0.863142 10000
1_10 1 10 500 7700 10000 13337 5877 7460 0.619468 0.513777 0.702731 0.250178 0.188533 0.298741 0.869 10000
1_10 1 10 500 7800 10000 13251 5846 7405 0.618233 0.520609 0.695304 0.244962 0.184491 0.292702 0.854161 10000
1_10 1 10 500 7900 10000 13223 5898 7325 0.619914 0.507001 0.710831 0.2521 0.188363 0.30342 0.85877 10000
